G,Date,Year,Series,Tm,Home,Opp,GameNum,Result,Diff,GS,MP,FG,FGA,FG.Pct,3P,3PA,3P.Pct,FT,FTA,FT.Pct,RB,AST,STL,BLK,TOV,PF,PTS,GmSc
9,5/19/1996,1996,ECF,CHI,1,ORL,1,W ,38,1,37:00:00,9,17,0.529,1,2,0.5,2,3,0.667,7,4,2,0,3,3,21,15.8
10,5/21/1996,1996,ECF,CHI,1,ORL,2,W ,5,1,43:00:00,9,21,0.429,2,4,0.5,15,16,0.938,5,6,4,1,2,2,35,31.5
11,5/25/1996,1996,ECF,CHI,0,ORL,3,W ,19,1,39:00:00,5,14,0.357,1,1,1,6,11,0.545,7,4,2,1,2,1,17,13.6
12,5/27/1996,1996,ECF,CHI,0,ORL,4,W ,5,1,44:00:00,16,23,0.696,3,4,0.75,10,14,0.714,3,5,1,1,4,5,45,34.6
13,6/5/1996,1996,FIN,CHI,1,SEA,1,W ,17,1,41:00:00,9,18,0.5,1,4,0.25,9,10,0.9,7,2,2,1,2,4,28,21.2
14,6/7/1996,1996,FIN,CHI,1,SEA,2,W ,4,1,43:00:00,9,22,0.409,1,2,0.5,10,16,0.625,6,8,2,0,2,3,29,21.8
15,6/9/1996,1996,FIN,CHI,0,SEA,3,W ,22,1,41:00:00,11,23,0.478,3,4,0.75,11,11,1,3,5,2,0,3,1,36,28.1
16,6/12/1996,1996,FIN,CHI,0,SEA,4,L ,-21,1,41:00:00,6,19,0.316,0,2,0,11,13,0.846,3,2,1,0,4,3,23,9.8
17,6/14/1996,1996,FIN,CHI,0,SEA,5,L ,-11,1,43:00:00,11,22,0.5,0,4,0,4,5,0.8,4,1,1,0,2,3,26,15.1
18,6/16/1996,1996,FIN,CHI,1,SEA,6,W ,12,1,43:00:00,5,19,0.263,1,3,0.333,11,12,0.917,9,7,2,0,5,3,22,14.9
1,4/25/1997,1997,EC1,CHI,1,WSB,1,W ,12,1,41:32:00,12,25,0.48,0,1,0,5,5,1,8,8,2,0,3,5,29,21.3
2,4/27/1997,1997,EC1,CHI,1,WSB,2,W ,5,1,44:13:00,22,35,0.629,1,2,0.5,10,10,1,7,2,2,0,2,3,55,42.8
3,4/30/1997,1997,EC1,CHI,0,WSB,3,W ,1,1,42:37:00,14,24,0.583,0,5,0,0,0,,2,6,0,1,2,2,28,19.9
4,5/6/1997,1997,ECS,CHI,1,ATL,1,W ,3,1,44:07:00,13,25,0.52,1,3,0.333,7,10,0.7,11,6,4,3,3,3,34,31.1
5,5/8/1997,1997,ECS,CHI,1,ATL,2,L ,-8,1,44:32:00,12,29,0.414,0,6,0,3,3,1,16,6,0,1,1,2,27,21.8
6,5/10/1997,1997,ECS,CHI,0,ATL,3,W ,20,1,38:29:00,8,20,0.4,0,1,0,5,5,1,9,3,2,2,5,3,21,13.4
7,5/11/1997,1997,ECS,CHI,0,ATL,4,W ,9,1,42:40:00,12,22,0.545,0,2,0,3,5,0.6,8,4,2,1,5,1,27,18.9
8,5/13/1997,1997,ECS,CHI,1,ATL,5,W ,15,1,40:29:00,9,23,0.391,1,5,0.2,5,5,1,7,7,2,0,2,0,24,19.3
9,5/20/1997,1997,ECF,CHI,1,MIA,1,W ,7,1,42:10:00,15,31,0.484,0,2,0,7,10,0.7,9,3,1,1,2,3,37,24.6
10,5/22/1997,1997,ECF,CHI,1,MIA,2,W ,7,1,43:29:00,4,15,0.267,0,1,0,15,16,0.938,9,3,4,1,2,1,23,21.6
11,5/24/1997,1997,ECF,CHI,0,MIA,3,W ,24,1,36:06:00,14,25,0.56,1,2,0.5,5,5,1,8,1,1,0,3,3,34,23.2
12,5/26/1997,1997,ECF,CHI,0,MIA,4,L ,-7,1,44:42:00,9,35,0.257,0,8,0,11,13,0.846,8,1,1,0,2,2,29,10.2
13,5/28/1997,1997,ECF,CHI,1,MIA,5,W ,13,1,42:36:00,11,31,0.355,1,4,0.25,5,6,0.833,6,5,2,2,4,4,28,13.8
14,6/1/1997,1997,FIN,CHI,1,UTA,1,W ,2,1,40:52:00,13,27,0.481,0,0,,5,7,0.714,4,8,0,1,0,3,31,23.2
15,6/4/1997,1997,FIN,CHI,1,UTA,2,W ,12,1,44:54:00,11,20,0.55,1,2,0.5,15,21,0.714,13,9,2,0,5,2,38,34
16,6/6/1997,1997,FIN,CHI,0,UTA,3,L ,-11,1,40:31:00,9,22,0.409,4,10,0.4,4,5,0.8,3,6,1,2,1,1,26,19.9
17,6/8/1997,1997,FIN,CHI,0,UTA,4,L ,-5,1,42:05:00,11,27,0.407,0,4,0,0,0,,4,4,0,0,3,3,22,7.7
18,6/11/1997,1997,FIN,CHI,0,UTA,5,W ,2,1,44:17:00,13,27,0.481,2,5,0.4,10,12,0.833,7,5,3,1,3,3,38,29.4
19,6/13/1997,1997,FIN,CHI,1,UTA,6,W ,4,1,43:36:00,15,35,0.429,1,4,0.25,8,10,0.8,11,4,1,1,1,2,39,26.1
1,4/24/1998,1998,EC1,CHI,1,NJN,1,W ,3,1,47:29:00,11,27,0.407,0,2,0,17,23,0.739,7,3,1,1,3,1,39,24.6
2,4/26/1998,1998,EC1,CHI,1,NJN,2,W ,5,1,38:59:00,9,19,0.474,0,0,,14,17,0.824,4,2,1,1,5,2,32,20
3,4/29/1998,1998,EC1,CHI,0,NJN,3,W ,15,1,43:40:00,16,22,0.727,2,2,1,4,5,0.8,4,3,2,1,2,2,38,32.6
4,5/3/1998,1998,ECS,CHI,1,CHH,1,W ,13,1,44:21:00,11,26,0.423,1,3,0.333,12,14,0.857,11,4,1,1,3,0,35,26.8
5,5/6/1998,1998,ECS,CHI,1,CHH,2,L ,-2,1,39:43:00,10,21,0.476,0,3,0,2,3,0.667,5,6,0,0,0,2,22,16.2
6,5/8/1998,1998,ECS,CHI,0,CHH,3,W ,14,1,38:55:00,9,20,0.45,0,1,0,9,10,0.9,5,6,1,0,3,3,27,19.9
7,5/10/1998,1998,ECS,CHI,0,CHH,4,W ,14,1,39:31:00,14,31,0.452,0,1,0,3,3,1,3,4,1,0,2,1,31,17.2
8,5/13/1998,1998,ECS,CHI,1,CHH,5,W ,9,1,41:59:00,15,29,0.517,0,3,0,3,4,0.75,4,3,2,1,0,3,33,23.5
9,5/17/1998,1998,ECF,CHI,1,IND,1,W ,6,1,40:58:00,11,28,0.393,0,0,,9,10,0.9,6,1,5,0,1,1,31,22.3
10,5/19/1998,1998,ECF,CHI,1,IND,2,W ,6,1,42:20:00,13,22,0.591,0,1,0,15,18,0.833,4,5,4,0,0,3,41,37.1
11,5/23/1998,1998,ECF,CHI,0,IND,3,L ,-2,1,43:30:00,9,22,0.409,2,3,0.667,10,12,0.833,4,7,1,0,5,3,30,18.7
12,5/25/1998,1998,ECF,CHI,0,IND,4,L ,-2,1,40:49:00,12,27,0.444,1,3,0.333,3,4,0.75,5,2,0,2,6,4,28,11
13,5/27/1998,1998,ECF,CHI,1,IND,5,W ,19,1,36:26:00,12,20,0.6,2,4,0.5,3,4,0.75,7,4,1,1,0,2,29,25.6
14,5/29/1998,1998,ECF,CHI,0,IND,6,L ,-3,1,41:45:00,12,23,0.522,1,4,0.25,10,11,0.909,5,2,1,0,3,4,35,23
15,5/31/1998,1998,ECF,CHI,1,IND,7,W ,5,1,42:01:00,9,25,0.36,0,0,,10,15,0.667,9,8,0,0,2,3,28,19.2
16,6/3/1998,1998,FIN,CHI,0,UTA,1,L ,-3,1,45:36:00,13,29,0.448,1,2,0.5,6,8,0.75,3,2,0,2,0,3,33,20
17,6/5/1998,1998,FIN,CHI,0,UTA,2,W ,5,1,40:14:00,14,33,0.424,0,2,0,9,10,0.9,5,3,1,1,0,2,37,24.8
18,6/7/1998,1998,FIN,CHI,1,UTA,3,W ,42,1,32:06:00,7,14,0.5,0,0,,10,11,0.909,3,2,1,1,2,1,24,18.6
19,6/10/1998,1998,FIN,CHI,1,UTA,4,W ,4,1,43:10:00,12,27,0.444,0,0,,10,15,0.667,8,2,2,0,3,1,34,21.5
20,6/12/1998,1998,FIN,CHI,1,UTA,5,L ,-2,1,44:43:00,9,26,0.346,0,2,0,10,11,0.909,4,4,3,0,4,4,28,14.8
21,6/14/1998,1998,FIN,CHI,0,UTA,6,W ,1,1,43:41:00,15,35,0.429,3,7,0.429,12,15,0.8,1,1,4,0,1,2,45,28.5
